variable,state,probability
team_form,good,0.4119
team_form,average,0.4678
team_form,poor,0.1203
player_injuries,major,0.9474
player_injuries,minor,0.0526
home_advantage,yes,1.0
rest_days,nan,0.0255
rest_days,4+,0.4363
rest_days,2-3,0.51
rest_days,0-1,0.0282
opponent_strength,strong,0.6744
opponent_strength,weak,0.0049
opponent_strength,average,0.3206
recent_head_to_head,win,0.5871
recent_head_to_head,loss,0.412
recent_head_to_head,draw,0.0009
match_importance,high,0.3
match_importance,medium,0.4
match_importance,low,0.3
